latitud,longitud,region,periodo,periodo_date
-34.9349705848,-57.9718066897,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.8963084,-58.5602963,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.912171,-57.95788,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.926211,-57.931791,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.7587495666,-58.4058287691,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.885443,-57.976897,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.911358,-57.960225,Bs.As. G.B.A. Zona Sur,02-2015,2015-02-01
-34.9191984085,-57.9768731251,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7149836,-58.4073699,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.925041,-57.943956,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.934154,-57.960144,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7149836,-58.4073699,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.8909752,-58.5722485,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.906681,-57.974342,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.906681,-57.974342,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.8963084,-58.5602963,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9223315766,-57.9441939089,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.8909752,-58.5722485,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9165522687,-57.9589896148,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.8963084,-58.5602963,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9415877965,-57.9505931864,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9218552,-58.4058281,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.8903292791,-58.5603761571,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9165522687,-57.9589896148,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9279591818,-57.9421054799,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.8903292791,-58.5603761571,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9279591818,-57.9421054799,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.934154,-57.960144,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9223315766,-57.9441939089,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.91671,-57.963191,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.6994171,-58.3926315,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9415526172,-57.9507004748,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.885443,-57.976897,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7000807229,-58.4134326243,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.6976590112,-58.4216542419,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9188787952,-57.9282615127,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.701711,-58.4216179,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.701711,-58.4216179,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.6968734,-58.3154206,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9207858065,-57.9270475865,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7075572792,-58.4111738205,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7075572792,-58.4111738205,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9193675993,-57.9454408864,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7552483544,-58.4054797079,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.698946736,-58.410720872,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9207858065,-57.9270475865,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9194332945,-57.9545839432,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9194332945,-57.9545839432,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.925804207,-57.9832454366,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.925804207,-57.9832454366,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9207862553,-57.9250770228,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9103203,-57.9671975,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9211308813,-57.9779626859,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9228179162,-57.9630256309,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.6979813839,-58.4114370608,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7748406,-58.3974085,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.931682,-57.926983,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.6976590112,-58.4216542419,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7050387773,-58.321163723,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7097628,-58.3977663,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7012566191,-58.3102908533,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7442965288,-58.3747099698,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.6994171,-58.3926315,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7097628,-58.3977663,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.6983107,-58.4313567,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.6983107,-58.4313567,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7014453091,-58.3201647091,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7116771042,-58.4113941219,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9093516449,-57.9450607926,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.921109606,-57.9451376233,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9093516449,-57.9450607926,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.7315570573,-58.4097028185,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9319025315,-57.9268804017,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9222528516,-57.9656844086,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.9222528516,-57.9656844086,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
-34.913218,-57.981722,Bs.As. G.B.A. Zona Sur,03-2015,2015-03-01
