latitud,longitud,region,periodo,periodo_date
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4837197,-58.5886199,Capital Federal,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5453564,-58.7096995,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.50596,-58.480344,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5087833221,-58.4788818396,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5442314,-58.5741349,Bs.As. G.B.A. Zona Oeste,02-2015,2015-02-01
-34.50596,-58.480344,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5723914,-58.7314476,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5397561989,-58.5704256437,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5358787659,-58.70531311,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.545105239,-58.7087677952,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5219489,-58.4719817,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4837197,-58.5886199,Capital Federal,02-2015,2015-02-01
-34.545105239,-58.7087677952,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.3535162548,-58.7944939489,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.3535162548,-58.7944939489,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5344865,-58.7165613,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.3848483165,-58.7366695783,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.41158326,-58.70291233,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.3900004388,-58.7348625798,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5210824,-58.4852558,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4340071755,-58.6569919503,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5390378,-58.704317,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5494883391,-58.7018584248,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4014482531,-58.6515502587,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5442033,-58.7215982,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4548988,-58.8844681,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5449035,-58.7027525,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4731439,-58.5102188,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5441508237,-58.7065791127,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4581757,-58.913887,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5336411,-58.4784789,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4173541,-58.58674049,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.40412903,-58.64852142,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.41823959,-58.58846283,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.41484047,-58.5898304,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.41484047,-58.5898304,Capital Federal,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.5141584665,-58.491155628,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4038446559,-58.6558761514,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
-34.4510128,-58.6267865,Bs.As. G.B.A. Zona Norte,02-2015,2015-02-01
