jurisdiccion,localidad,periodo,monto
Capital Federal,Balvanera,07-2019,13759.459459459462
Capital Federal,Paternal,07-2019,13798.125
Capital Federal,Boedo,07-2019,13104.347826086956
Bs.As. G.B.A. Zona Sur,Lanús,07-2019,11603.40909090909
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,07-2019,11335.555555555555
Bs.As. G.B.A. Zona Oeste,La Matanza,07-2019,11226.008064516129
Capital Federal,Tribunales,07-2019,14000
Bs.As. G.B.A. Zona Norte,"",07-2019,10809.375
Capital Federal,Constitución,07-2019,13046.666666666668
Bs.As. G.B.A. Zona Oeste,Merlo,07-2019,9608.823529411764
Capital Federal,Recoleta,07-2019,28765.25
Bs.As. G.B.A. Zona Oeste,La Matanza,07-2018,8302.0408163265311
Bs.As. G.B.A. Zona Norte,Vicente López,07-2018,20850.26737967915
Capital Federal,Puerto Madero,07-2018,33536.363636363647
Capital Federal,Villa Luro,07-2018,9985.7142857142844
Capital Federal,Monte Castro,07-2018,9624.9999999999982
Capital Federal,Recoleta,07-2018,20255.66502463054
Capital Federal,Almagro,07-2018,11961.844660194174
Capital Federal,San Nicolás,07-2018,12224
Capital Federal,Flores,07-2018,11304.941176470587
Bs.As. G.B.A. Zona Sur,Lanús,07-2018,8608.9552238805973
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,07-2018,9710.4972375690631
Capital Federal,San Telmo,07-2018,12538.297872340427
Bs.As. G.B.A. Zona Sur,"",07-2018,7500
Capital Federal,Parque Chas,07-2018,14500
Capital Federal,Barrio Norte,07-2018,16216.9014084507
Capital Federal,Agronomía,07-2018,9050
Bs.As. G.B.A. Zona Norte,Tigre,07-2018,17254.248366013078
Bs.As. G.B.A. Zona Sur,Ezeiza,07-2018,15041.666666666668
Capital Federal,Palermo,07-2018,18498.966804979253
Bs.As. G.B.A. Zona Oeste,Marcos Paz,07-2018,5600
Capital Federal,San Cristobal,07-2018,10571.428571428571
Capital Federal,Centro / Microcentro,07-2018,11150
Capital Federal,Colegiales,07-2018,14808
Capital Federal,"",07-2018,11127.272727272728
Bs.As. G.B.A. Zona Norte,Escobar,07-2018,8865.90909090909
Capital Federal,Liniers,07-2018,9433.3333333333339
Bs.As. G.B.A. Zona Norte,José C Paz,07-2018,6168.75
Capital Federal,Paternal,07-2018,12937.5
Capital Federal,Villa Urquiza,07-2018,13494.84536082474
Capital Federal,Villa Ortuzar,07-2018,11200
Capital Federal,Floresta,07-2018,9357.575757575758
Capital Federal,Villa Lugano,07-2018,9410
Capital Federal,Nuñez,07-2018,17513.131313131318
Bs.As. G.B.A. Zona Norte,San Isidro,07-2018,17733.516483516487
Capital Federal,Velez Sarsfield,07-2018,10000
Capital Federal,Las Cañitas,07-2018,16717.647058823528
Capital Federal,Villa del Parque,07-2018,11600
Bs.As. G.B.A. Zona Sur,Florencio Varela,07-2018,6766.666666666667
Capital Federal,Monserrat,07-2018,11496.969696969696
Capital Federal,Congreso,07-2018,11965.384615384615
Bs.As. G.B.A. Zona Oeste,Hurlingham,07-2018,7200
Capital Federal,Villa Devoto,07-2018,13688.333333333332
Capital Federal,Balvanera,07-2018,12122.413793103447
Bs.As. G.B.A. Zona Oeste,Ituzaingó,07-2018,7792.8571428571431
Capital Federal,Villa General Mitre,07-2018,9500
Bs.As. G.B.A. Zona Sur,San Vicente,07-2018,14000
Bs.As. G.B.A. Zona Norte,"",07-2018,8314.2857142857138
Capital Federal,Belgrano,07-2018,18919.709090909095
Capital Federal,Caballito,07-2018,12646.739130434784
Capital Federal,Boca,07-2018,11047.058823529413
Capital Federal,Constitución,07-2018,9312.5
Capital Federal,Abasto,07-2018,11166.666666666666
Capital Federal,Villa Pueyrredón,07-2018,10289.473684210527
Capital Federal,Villa Crespo,07-2018,12555.056179775282
Capital Federal,Barracas,07-2018,13110.000000000002
Capital Federal,Parque Chacabuco,07-2018,13082.608695652174
Capital Federal,Pompeya,07-2018,8000
Bs.As. G.B.A. Zona Sur,Quilmes,07-2018,12877.692307692309
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,07-2018,8250
Bs.As. G.B.A. Zona Sur,Almirante Brown,07-2018,10305.81395348837
Capital Federal,Versalles,07-2018,8500
Capital Federal,Parque Centenario,07-2018,11316.666666666666
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,07-2018,8179.545454545455
Bs.As. G.B.A. Zona Oeste,Merlo,07-2018,7263.636363636364
Capital Federal,Chacarita,07-2018,11930.76923076923
Capital Federal,Boedo,07-2018,12807.692307692307
Capital Federal,Parque Patricios,07-2018,10670
Bs.As. G.B.A. Zona Oeste,"",07-2018,6500
Bs.As. G.B.A. Zona Norte,San Fernando,07-2018,12157.446808510638
Capital Federal,Parque Avellaneda,07-2018,7500
Capital Federal,Tribunales,07-2018,10341.176470588236
Bs.As. G.B.A. Zona Sur,La Plata,07-2018,8809.53947368421
Capital Federal,Saavedra,07-2018,11681.25
Bs.As. G.B.A. Zona Oeste,Morón,07-2018,7918.3962264150932
Capital Federal,Coghlan,07-2018,15021.052631578945
Bs.As. G.B.A. Zona Sur,Berazategui,07-2018,12416.666666666666
Capital Federal,Villa Real,07-2018,7500
Bs.As. G.B.A. Zona Norte,General San Martín,07-2018,8930.3571428571431
Bs.As. G.B.A. Zona Norte,Pilar,07-2018,12167.445255474453
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,07-2018,7795.5882352941171
Bs.As. G.B.A. Zona Norte,San Miguel,07-2018,7858.40490797546
Bs.As. G.B.A. Zona Sur,Avellaneda,07-2018,8957.07142857143
Capital Federal,Retiro,07-2018,16272.413793103447
Bs.As. G.B.A. Zona Oeste,Moreno,07-2018,7675.6097560975613
Capital Federal,Mataderos,07-2018,9858.3333333333339
Capital Federal,Once,07-2018,11592.307692307693
Capital Federal,Palermo,07-2017,16340.624999999996
Capital Federal,Villa del Parque,07-2017,9295.5555555555547
Capital Federal,Caballito,07-2017,9333.7837837837833
Capital Federal,Versalles,07-2017,6500
Capital Federal,Boca,07-2017,7000
Bs.As. G.B.A. Zona Norte,Escobar,07-2017,6750
Capital Federal,Barracas,07-2017,10859.375
Capital Federal,Congreso,07-2017,7683.333333333333
Capital Federal,Barrio Norte,07-2017,13352.736318407959
Bs.As. G.B.A. Zona Oeste,Merlo,07-2017,5558.333333333333
Bs.As. G.B.A. Zona Oeste,Marcos Paz,07-2017,5500
Capital Federal,Mataderos,07-2017,7141.6666666666661
Bs.As. G.B.A. Zona Norte,General San Martín,07-2017,6611.2676056338032
Bs.As. G.B.A. Zona Oeste,La Matanza,07-2017,6313.030303030303
Bs.As. G.B.A. Zona Sur,Florencio Varela,07-2017,7000
Bs.As. G.B.A. Zona Sur,La Plata,07-2017,7364.0772200772208
Capital Federal,Balvanera,07-2017,8170.8333333333321
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,07-2017,6082.954545454546
Capital Federal,Puerto Madero,07-2017,28439.901960784315
Capital Federal,Villa Urquiza,07-2017,9324.0259740259753
Capital Federal,Colegiales,07-2017,11703.947368421052
Capital Federal,Villa Luro,07-2017,7630
Bs.As. G.B.A. Zona Norte,Tigre,07-2017,15019.102990033223
Bs.As. G.B.A. Zona Sur,Quilmes,07-2017,10693.103448275861
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,07-2017,6816.666666666667
Capital Federal,Villa General Mitre,07-2017,8175
Capital Federal,Once,07-2017,6783.333333333333
Capital Federal,Villa Lugano,07-2017,7020
Capital Federal,San Cristobal,07-2017,7418.75
Bs.As. G.B.A. Zona Oeste,"",07-2017,4750
Capital Federal,Liniers,07-2017,6700
Capital Federal,Monserrat,07-2017,9438.6363636363621
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,07-2017,7279.1397849462355
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,07-2017,4447.3684210526308
Bs.As. G.B.A. Zona Sur,Berazategui,07-2017,13600
Bs.As. G.B.A. Zona Sur,Lanús,07-2017,6513.461538461539
Bs.As. G.B.A. Zona Sur,Presidente Perón,07-2017,5200
Capital Federal,Villa Pueyrredón,07-2017,8834.21052631579
Capital Federal,Parque Centenario,07-2017,8260
Capital Federal,Centro / Microcentro,07-2017,7640.625
Bs.As. G.B.A. Zona Oeste,General Rodríguez,07-2017,6666.666666666667
Bs.As. G.B.A. Zona Sur,Almirante Brown,07-2017,7290.2439024390242
Capital Federal,Las Cañitas,07-2017,21213.636363636364
Capital Federal,Villa Santa Rita,07-2017,6200
Capital Federal,Velez Sarsfield,07-2017,6600
Capital Federal,Parque Chas,07-2017,9000
Capital Federal,Constitución,07-2017,5425
Bs.As. G.B.A. Zona Sur,Ezeiza,07-2017,8045.454545454545
Capital Federal,Flores,07-2017,8362.5
Bs.As. G.B.A. Zona Oeste,Ituzaingó,07-2017,6009.5238095238092
Capital Federal,Nuñez,07-2017,13285.439393939392
Capital Federal,Agronomía,07-2017,6250
Bs.As. G.B.A. Zona Sur,Cañuelas,07-2017,6900
Bs.As. G.B.A. Zona Oeste,Moreno,07-2017,5388.8888888888887
Capital Federal,Villa Devoto,07-2017,8801.6129032258068
Capital Federal,Villa Ortuzar,07-2017,8093.75
Capital Federal,Monte Castro,07-2017,6957.1428571428569
Capital Federal,Chacarita,07-2017,10600
Bs.As. G.B.A. Zona Oeste,Morón,07-2017,6061.9318181818189
Capital Federal,Recoleta,07-2017,16534.541062801931
Bs.As. G.B.A. Zona Norte,"",07-2017,6014.2857142857147
Bs.As. G.B.A. Zona Norte,San Fernando,07-2017,9082.8571428571413
Bs.As. G.B.A. Zona Sur,"",07-2017,6000
Capital Federal,"",07-2017,9039.4736842105267
Capital Federal,Abasto,07-2017,11890.90909090909
Capital Federal,Retiro,07-2017,15662.500000000002
Capital Federal,San Telmo,07-2017,10352.542372881357
Capital Federal,Tribunales,07-2017,9633.3333333333339
Capital Federal,San Nicolás,07-2017,8570
Bs.As. G.B.A. Zona Norte,San Isidro,07-2017,15819.318181818182
Bs.As. G.B.A. Zona Norte,José C Paz,07-2017,5716.666666666667
Capital Federal,Boedo,07-2017,7941.666666666667
Capital Federal,Villa Real,07-2017,6500
Capital Federal,Saavedra,07-2017,9077.2727272727261
Capital Federal,Belgrano,07-2017,15333.400576368877
Capital Federal,Almagro,07-2017,8198.0246913580231
Bs.As. G.B.A. Zona Sur,Avellaneda,07-2017,6666.666666666667
Capital Federal,Parque Patricios,07-2017,7625
Capital Federal,Parque Chacabuco,07-2017,10460
Capital Federal,Floresta,07-2017,7370.4545454545441
Bs.As. G.B.A. Zona Norte,Pilar,07-2017,9832.528089887639
Bs.As. G.B.A. Zona Norte,San Miguel,07-2017,5768.1818181818171
Bs.As. G.B.A. Zona Norte,Vicente López,07-2017,17049.193548387095
Capital Federal,Paternal,07-2017,8900
Bs.As. G.B.A. Zona Oeste,Hurlingham,07-2017,5477.7777777777774
Capital Federal,Coghlan,07-2017,9000
Capital Federal,Villa Crespo,07-2017,9606.2500000000018
Capital Federal,Barrio Norte,07-2016,10233.132530120482
Bs.As. G.B.A. Zona Oeste,Morón,07-2016,5255.5555555555557
Capital Federal,San Telmo,07-2016,7804.7619047619046
Capital Federal,Parque Centenario,07-2016,5100
Capital Federal,Tribunales,07-2016,5633.333333333333
Bs.As. G.B.A. Zona Oeste,Marcos Paz,07-2016,3000
Capital Federal,Paternal,07-2016,5637.5
Bs.As. G.B.A. Zona Norte,Pilar,07-2016,7106.666666666667
Bs.As. G.B.A. Zona Norte,Tigre,07-2016,11545.197740112995
Capital Federal,"",07-2016,6573.0769230769229
Capital Federal,Villa Pueyrredón,07-2016,5462.5
Bs.As. G.B.A. Zona Sur,Lanús,07-2016,11808.333333333334
Capital Federal,Centro / Microcentro,07-2016,5700
Bs.As. G.B.A. Zona Norte,San Isidro,07-2016,12768.888888888889
Capital Federal,Versalles,07-2016,5500
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,07-2016,5756
Bs.As. G.B.A. Zona Sur,La Plata,07-2016,5931.489361702128
Capital Federal,Las Cañitas,07-2016,8738.0952380952385
Capital Federal,Constitución,07-2016,8866.6666666666661
Bs.As. G.B.A. Zona Oeste,Ituzaingó,07-2016,6100
Capital Federal,Parque Patricios,07-2016,4900
Capital Federal,Villa Urquiza,07-2016,7281.4814814814808
Capital Federal,Flores,07-2016,6678.260869565217
Capital Federal,Recoleta,07-2016,16923.239436619719
Capital Federal,Barracas,07-2016,7650
Capital Federal,Puerto Madero,07-2016,23240.81632653061
Capital Federal,Almagro,07-2016,6226.5937500000009
Bs.As. G.B.A. Zona Norte,Vicente López,07-2016,12685.496183206109
Bs.As. G.B.A. Zona Sur,Avellaneda,07-2016,5083.3333333333339
Capital Federal,Colegiales,07-2016,9784.375
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,07-2016,4900
Capital Federal,Mataderos,07-2016,6500
Bs.As. G.B.A. Zona Norte,San Fernando,07-2016,8248.4848484848462
Capital Federal,Retiro,07-2016,9906.25
Capital Federal,Belgrano,07-2016,11191.08527131783
Bs.As. G.B.A. Zona Sur,Berazategui,07-2016,4850
Capital Federal,Villa Ortuzar,07-2016,7650
Capital Federal,Monserrat,07-2016,8263.3333333333339
Capital Federal,Congreso,07-2016,5958.8235294117649
Capital Federal,Palermo,07-2016,14393.925233644863
Capital Federal,Villa Luro,07-2016,6620
Capital Federal,Villa Santa Rita,07-2016,6800
Capital Federal,Chacarita,07-2016,7400
Capital Federal,Abasto,07-2016,9000
Bs.As. G.B.A. Zona Oeste,La Matanza,07-2016,5138.72549019608
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,07-2016,4954.545454545454
Bs.As. G.B.A. Zona Norte,General San Martín,07-2016,5542.105263157895
Capital Federal,Caballito,07-2016,7251.9230769230771
Capital Federal,Villa Real,07-2016,5466.666666666667
Capital Federal,Balvanera,07-2016,6372.5
Capital Federal,San Nicolás,07-2016,7453.8461538461543
Capital Federal,Villa General Mitre,07-2016,5233.333333333333
Capital Federal,Agronomía,07-2016,6000
Bs.As. G.B.A. Zona Oeste,Merlo,07-2016,3500
Capital Federal,Velez Sarsfield,07-2016,5150
Bs.As. G.B.A. Zona Norte,Escobar,07-2016,7200
Capital Federal,Liniers,07-2016,6475
Bs.As. G.B.A. Zona Norte,San Miguel,07-2016,4762.0370370370365
Capital Federal,Villa Lugano,07-2016,5500
Capital Federal,Boca,07-2016,5360
Capital Federal,Coghlan,07-2016,5700
Bs.As. G.B.A. Zona Oeste,Moreno,07-2016,6212.5
Capital Federal,Monte Castro,07-2016,4866.666666666667
Bs.As. G.B.A. Zona Sur,Florencio Varela,07-2016,4500
Capital Federal,Parque Chacabuco,07-2016,7066.666666666667
Bs.As. G.B.A. Zona Sur,Quilmes,07-2016,5400
Bs.As. G.B.A. Zona Sur,Ezeiza,07-2016,7600
Capital Federal,Nuñez,07-2016,19308.305555555555
Capital Federal,Floresta,07-2016,6032.5
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,07-2016,5650
Capital Federal,Villa del Parque,07-2016,6078.5714285714284
Capital Federal,Villa Devoto,07-2016,7540
Capital Federal,San Cristobal,07-2016,5540
Bs.As. G.B.A. Zona Norte,"",07-2016,12232.500000000002
Bs.As. G.B.A. Zona Oeste,Hurlingham,07-2016,4637.5
Bs.As. G.B.A. Zona Sur,Almirante Brown,07-2016,6668.75
Capital Federal,Villa Crespo,07-2016,7059.090909090909
Capital Federal,Saavedra,07-2016,7420
Capital Federal,Once,07-2016,7322.2222222222226
Bs.As. G.B.A. Zona Norte,José C Paz,07-2016,3500
Capital Federal,Boedo,07-2016,5980
Capital Federal,Palermo,07-2015,10148.802395209581
Capital Federal,Villa Urquiza,07-2015,4871.4285714285706
Bs.As. G.B.A. Zona Sur,Lanús,07-2015,4146.1538461538457
Capital Federal,Villa Crespo,07-2015,4833.1666666666661
Bs.As. G.B.A. Zona Oeste,Ituzaingó,07-2015,3200
Capital Federal,Parque Centenario,07-2015,5018.181818181818
Bs.As. G.B.A. Zona Oeste,Morón,07-2015,3311.3402061855672
Capital Federal,Barracas,07-2015,9272.7272727272721
Bs.As. G.B.A. Zona Norte,Tigre,07-2015,8725.9459459459431
Bs.As. G.B.A. Zona Sur,Berazategui,07-2015,4680
Capital Federal,Flores,07-2015,4306.818181818182
Capital Federal,Velez Sarsfield,07-2015,3000
Bs.As. G.B.A. Zona Sur,Almirante Brown,07-2015,4126.9230769230762
Capital Federal,Villa Devoto,07-2015,4505.5555555555557
Bs.As. G.B.A. Zona Sur,Ezeiza,07-2015,6325
Capital Federal,Coghlan,07-2015,4833.333333333333
Capital Federal,Mataderos,07-2015,3920
Capital Federal,Barrio Norte,07-2015,8415.7142857142844
Capital Federal,Villa Pueyrredón,07-2015,5766.666666666667
Capital Federal,Recoleta,07-2015,9913.7500000000018
Capital Federal,Monte Castro,07-2015,4700
Bs.As. G.B.A. Zona Norte,General San Martín,07-2015,3376.4705882352941
Bs.As. G.B.A. Zona Sur,Quilmes,07-2015,5036.363636363636
Capital Federal,Villa Ortuzar,07-2015,3500
Capital Federal,Puerto Madero,07-2015,24855
Capital Federal,Agronomía,07-2015,4633.333333333333
Capital Federal,"",07-2015,6633.333333333333
Capital Federal,San Cristobal,07-2015,3700
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,07-2015,3336.2745098039213
Capital Federal,Constitución,07-2015,5375
Bs.As. G.B.A. Zona Sur,La Plata,07-2015,4898.3870967741923
Capital Federal,Nuñez,07-2015,10281.249999999996
Bs.As. G.B.A. Zona Oeste,Merlo,07-2015,4028.5714285714284
Bs.As. G.B.A. Zona Oeste,Moreno,07-2015,2500
Capital Federal,Paternal,07-2015,3688.8888888888887
Capital Federal,Monserrat,07-2015,8662.5
Bs.As. G.B.A. Zona Norte,Vicente López,07-2015,10090.37037037037
Capital Federal,Parque Chacabuco,07-2015,5500
Capital Federal,Abasto,07-2015,6433.333333333333
Capital Federal,Las Cañitas,07-2015,12444.444444444443
Capital Federal,Villa del Parque,07-2015,5116.666666666667
Capital Federal,San Nicolás,07-2015,14221.428571428572
Bs.As. G.B.A. Zona Sur,Avellaneda,07-2015,3500
Bs.As. G.B.A. Zona Norte,Escobar,07-2015,5500
Capital Federal,Villa Santa Rita,07-2015,7800
Capital Federal,Parque Avellaneda,07-2015,3300
Capital Federal,Parque Chas,07-2015,4766.666666666667
Bs.As. G.B.A. Zona Oeste,La Matanza,07-2015,4086.3793103448265
Capital Federal,Retiro,07-2015,16733.333333333332
Bs.As. G.B.A. Zona Oeste,Hurlingham,07-2015,3828.5714285714284
Bs.As. G.B.A. Zona Norte,Pilar,07-2015,4861.8181818181811
Capital Federal,Floresta,07-2015,3962.5
Bs.As. G.B.A. Zona Norte,San Fernando,07-2015,7623.4042553191475
Capital Federal,Balvanera,07-2015,5771.681818181818
Bs.As. G.B.A. Zona Norte,San Isidro,07-2015,8282.8467153284655
Capital Federal,Liniers,07-2015,3800
Capital Federal,Boedo,07-2015,4775
Capital Federal,Boca,07-2015,5825
Capital Federal,San Telmo,07-2015,5311.1111111111113
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,07-2015,5477.7777777777774
Capital Federal,Once,07-2015,5050
Capital Federal,Almagro,07-2015,4973.076923076922
Capital Federal,Parque Patricios,07-2015,3600
Capital Federal,Colegiales,07-2015,11222.222222222223
Capital Federal,Saavedra,07-2015,4800
Capital Federal,Congreso,07-2015,6129.411764705882
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,07-2015,4273.8095238095229
Capital Federal,Belgrano,07-2015,12423.953488372092
Capital Federal,Chacarita,07-2015,2600
Capital Federal,Centro / Microcentro,07-2015,4492.8571428571431
Bs.As. G.B.A. Zona Norte,San Miguel,07-2015,3613.8888888888891
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,07-2015,4322.2222222222217
Capital Federal,Tribunales,07-2015,3233.3333333333335
Capital Federal,Caballito,07-2015,5340.322580645161
Capital Federal,Villa Luro,07-2015,3914.2857142857142
Bs.As. G.B.A. Zona Norte,"",07-2015,8300.0000000000018
Capital Federal,Las Cañitas,06-2021,45487.5
Bs.As. G.B.A. Zona Oeste,La Matanza,06-2021,25517.083333333332
Capital Federal,"",06-2021,28000
Bs.As. G.B.A. Zona Sur,Florencio Varela,06-2021,27916.666666666668
Capital Federal,Saavedra,06-2021,41455.882352941182
Capital Federal,Recoleta,06-2021,64103.681818181816
Capital Federal,Paternal,06-2021,33392.857142857138
Capital Federal,Flores,06-2021,34973.275862068949
Capital Federal,Parque Patricios,06-2021,29363.636363636364
Capital Federal,Balvanera,06-2021,28592.342342342345
Capital Federal,Centro / Microcentro,06-2021,33676.4705882353
Bs.As. G.B.A. Zona Sur,Esteban Echeverría,06-2021,35312.499999999993
Bs.As. G.B.A. Zona Norte,Escobar,06-2021,33380.952380952389
Capital Federal,Palermo,06-2021,56945.857418111766
Capital Federal,Retiro,06-2021,43948.275862068964
Bs.As. G.B.A. Zona Sur,Ezeiza,06-2021,41029.411764705881
Capital Federal,Monte Castro,06-2021,35692.307692307695
Bs.As. G.B.A. Zona Norte,José C Paz,06-2021,19571.428571428572
Capital Federal,Nuñez,06-2021,46661.904761904756
Bs.As. G.B.A. Zona Sur,La Plata,06-2021,35593.639053254439
Capital Federal,Constitución,06-2021,27909.090909090908
Bs.As. G.B.A. Zona Norte,San Isidro,06-2021,63577.380952380961
Bs.As. G.B.A. Zona Sur,Quilmes,06-2021,29440.760869565216
Capital Federal,Villa Ortuzar,06-2021,43300
Bs.As. G.B.A. Zona Sur,Avellaneda,06-2021,26288.461538461539
Bs.As. G.B.A. Zona Oeste,Tres de Febrero,06-2021,24445.378151260506
Capital Federal,Villa del Parque,06-2021,34156.52173913044
Capital Federal,Coghlan,06-2021,31056
Capital Federal,Congreso,06-2021,28174.358974358976
Capital Federal,Villa Devoto,06-2021,49926.829268292684
Capital Federal,Boedo,06-2021,36292.682926829264
Bs.As. G.B.A. Zona Sur,Almirante Brown,06-2021,29944.444444444445
Bs.As. G.B.A. Zona Norte,Tigre,06-2021,65003.472222222219
Bs.As. G.B.A. Zona Norte,San Fernando,06-2021,35372.093023255817
Capital Federal,Colegiales,06-2021,42707.142857142855
Capital Federal,Mataderos,06-2021,27666.666666666668
Capital Federal,Parque Chas,06-2021,29250
Capital Federal,Tribunales,06-2021,26250
Capital Federal,Villa Santa Rita,06-2021,31222.222222222219
Capital Federal,Pompeya,06-2021,14500
Capital Federal,Liniers,06-2021,32406.25
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,06-2021,18153.846153846156
Bs.As. G.B.A. Zona Sur,Berazategui,06-2021,37818.181818181816
Bs.As. G.B.A. Zona Oeste,Moreno,06-2021,20012.5
Capital Federal,Villa General Mitre,06-2021,33000
Capital Federal,Villa Pueyrredón,06-2021,34160.71428571429
Bs.As. G.B.A. Zona Norte,Vicente López,06-2021,63557.718120805373
Bs.As. G.B.A. Zona Oeste,Marcos Paz,06-2021,14666.666666666666
Bs.As. G.B.A. Zona Sur,Cañuelas,06-2021,19533.333333333332
Capital Federal,Agronomía,06-2021,45272.727272727272
Bs.As. G.B.A. Zona Oeste,General Rodríguez,06-2021,23500
Bs.As. G.B.A. Zona Oeste,Morón,06-2021,24773.376623376626
Capital Federal,Villa Luro,06-2021,34235.294117647063
Capital Federal,Barrio Norte,06-2021,42329.801324503307
Capital Federal,Villa Real,06-2021,45000
Bs.As. G.B.A. Zona Norte,General San Martín,06-2021,28936.000000000004
Bs.As. G.B.A. Zona Norte,San Miguel,06-2021,25385.714285714286
Capital Federal,Villa Urquiza,06-2021,41340.740740740737
Capital Federal,Belgrano,06-2021,55399.348534201948
Capital Federal,Almagro,06-2021,36016.129032258061
Capital Federal,Boca,06-2021,28366.666666666668
Bs.As. G.B.A. Zona Sur,Lanús,06-2021,27136.419753086422
Capital Federal,Floresta,06-2021,28275.862068965514
Capital Federal,Parque Avellaneda,06-2021,30000
Capital Federal,Chacarita,06-2021,35732.142857142855
Bs.As. G.B.A. Zona Norte,Pilar,06-2021,42901.639344262294
Bs.As. G.B.A. Zona Sur,Lomas de Zamora,06-2021,33431.472081218279
Bs.As. G.B.A. Zona Oeste,Merlo,06-2021,23034.693877551021
Capital Federal,San Cristobal,06-2021,30227.272727272724
Capital Federal,Once,06-2021,35275.862068965514
Capital Federal,San Telmo,06-2021,33646.268656716413
Capital Federal,Puerto Madero,06-2021,151866.66666666669
Capital Federal,Abasto,06-2021,31818.18181818182
Capital Federal,Versalles,06-2021,25500
Capital Federal,Velez Sarsfield,06-2021,31966.666666666668
Capital Federal,Caballito,06-2021,41116.356877323415
Capital Federal,Parque Chacabuco,06-2021,36483.870967741932
Bs.As. G.B.A. Zona Oeste,Ituzaingó,06-2021,27687.5
Capital Federal,Villa Crespo,06-2021,35526.086956521736
Capital Federal,Monserrat,06-2021,31856.521739130429
Capital Federal,Parque Centenario,06-2021,23000
Bs.As. G.B.A. Zona Norte,"",06-2021,26222.222222222223
Bs.As. G.B.A. Zona Oeste,Hurlingham,06-2021,22550
Capital Federal,San Nicolás,06-2021,30232.812499999996
Capital Federal,Villa Lugano,06-2021,32352.941176470591
Capital Federal,Barracas,06-2021,34857.142857142862
Capital Federal,Monserrat,06-2020,22601.851851851847
Bs.As. G.B.A. Zona Sur,La Plata,06-2020,39375.8947368421
Capital Federal,Parque Patricios,06-2020,20538.461538461539
Capital Federal,Retiro,06-2020,39448.829268292677
Capital Federal,Tribunales,06-2020,20800
Capital Federal,Parque Chacabuco,06-2020,20220
Bs.As. G.B.A. Zona Oeste,Ituzaingó,06-2020,17344.186046511633
Bs.As. G.B.A. Zona Sur,Avellaneda,06-2020,14827.775862068966
Capital Federal,Colegiales,06-2020,27947.619047619046
Capital Federal,Villa Lugano,06-2020,16694.117647058825
Bs.As. G.B.A. Zona Norte,Malvinas Argentinas,06-2020,12758.823529411764
Bs.As. G.B.A. Zona Sur,Berazategui,06-2020,20521.739130434784
Capital Federal,Coghlan,06-2020,36656.25
Capital Federal,Caballito,06-2020,23998.695652173919
Capital Federal,Boca,06-2020,16707.142857142859
Capital Federal,Versalles,06-2020,18214.285714285714
Capital Federal,Las Cañitas,06-2020,34044.117647058833
Capital Federal,Villa Crespo,06-2020,25345.756410256407
Capital Federal,Velez Sarsfield,06-2020,15666.666666666668
Bs.As. G.B.A. Zona Norte,Vicente López,06-2020,41743.513513513506
Capital Federal,Villa del Parque,06-2020,20011.627906976744
Capital Federal,Villa Santa Rita,06-2020,17000
Capital Federal,San Nicolás,06-2020,18205.128205128203
Capital Federal,Flores,06-2020,22477.5
Capital Federal,Parque Avellaneda,06-2020,15000
Bs.As. G.B.A. Zona Oeste,General Rodríguez,06-2020,12928.571428571429
Capital Federal,Villa Luro,06-2020,25184.210526315786
Bs.As. G.B.A. Zona Oeste,Hurlingham,06-2020,13313.333333333334
Bs.As. G.B.A. Zona Oeste,Marcos Paz,06-2020,8050
Capital Federal,Villa General Mitre,06-2020,16250
Bs.As. G.B.A. Zona Norte,Tigre,06-2020,29889.4591611479
Capital Federal,Recoleta,06-2020,36045.620437956211
Capital Federal,Floresta,06-2020,17888.888888888891
Capital Federal,Balvanera,06-2020,18368.918918918924
Capital Federal,Constitución,06-2020,16123.076923076922
Capital Federal,Villa Ortuzar,06-2020,19000
Capital Federal,Mataderos,06-2020,15388.888888888889
Capital Federal,Nuñez,06-2020,34295.918367346938
Bs.As. G.B.A. Zona Norte,General San Martín,06-2020,15804.716981132075
Bs.As. G.B.A. Zona Oeste,"",06-2020,13000
Bs.As. G.B.A. Zona Norte,San Fernando,06-2020,24291.666666666668
Bs.As. G.B.A. Zona Oeste,Morón,06-2020,13541.007194244601
Bs.As. G.B.A. Zona Norte,San Miguel,06-2020,13849.999999999998
Capital Federal,Monte Castro,06-2020,17227.272727272728
