jurisdiccion,periodo,monto
Bs.As. G.B.A. Zona Oeste,04-2021,22693.080724876447
Bs.As. G.B.A. Zona Norte,04-2021,41817.442054958192
Capital Federal,04-2021,42818.375398186712
Bs.As. G.B.A. Zona Sur,04-2021,36028.413650465351
Capital Federal,04-2020,31869.208133971297
Bs.As. G.B.A. Zona Oeste,04-2020,12060.197368421052
Bs.As. G.B.A. Zona Sur,04-2020,14917.166494312309
Bs.As. G.B.A. Zona Norte,04-2020,27515.106382978724
Bs.As. G.B.A. Zona Sur,04-2019,11691.360175695463
Capital Federal,04-2019,20094.291236254587
Bs.As. G.B.A. Zona Norte,04-2019,18929.002713704205
Bs.As. G.B.A. Zona Oeste,04-2019,9717.7123287671257
Capital Federal,04-2018,14672.293413173651
Bs.As. G.B.A. Zona Norte,04-2018,15597.994052676297
Bs.As. G.B.A. Zona Oeste,04-2018,7513.7524557956776
Bs.As. G.B.A. Zona Sur,04-2018,9120.44943820225
Bs.As. G.B.A. Zona Oeste,04-2017,5886.140625
Bs.As. G.B.A. Zona Norte,04-2017,11429.942279942279
Capital Federal,04-2017,12180.631516587677
Bs.As. G.B.A. Zona Sur,04-2017,7526.3598326359843
Bs.As. G.B.A. Zona Sur,04-2016,5411.6022099447518
Capital Federal,04-2016,9328.007987220446
Bs.As. G.B.A. Zona Norte,04-2016,9565.7392686804451
Bs.As. G.B.A. Zona Oeste,04-2016,4596.0784313725489
Bs.As. G.B.A. Zona Sur,04-2015,4011.5648854961828
Capital Federal,04-2015,10241.933139534887
Bs.As. G.B.A. Zona Oeste,04-2015,3515.292397660819
Bs.As. G.B.A. Zona Norte,04-2015,7780.3591331269345
Capital Federal,03-2021,42987.961336220222
Bs.As. G.B.A. Zona Norte,03-2021,43122.621809744785
Bs.As. G.B.A. Zona Oeste,03-2021,21828.037195994279
Bs.As. G.B.A. Zona Sur,03-2021,40630.398886827446
Bs.As. G.B.A. Zona Sur,03-2020,14697.767332549942
Capital Federal,03-2020,26988.446076536529
Bs.As. G.B.A. Zona Norte,03-2020,23288.858695652172
Bs.As. G.B.A. Zona Oeste,03-2020,13018.669131238448
Bs.As. G.B.A. Zona Sur,03-2019,11138.046511627907
Bs.As. G.B.A. Zona Oeste,03-2019,9641.69712793734
Capital Federal,03-2019,18861.84483287335
Bs.As. G.B.A. Zona Norte,03-2019,18205.107889413353
Bs.As. G.B.A. Zona Norte,03-2018,13986.006469500922
Bs.As. G.B.A. Zona Oeste,03-2018,7497.4593495934969
Bs.As. G.B.A. Zona Sur,03-2018,8920.1053719008287
Capital Federal,03-2018,14735.631467345205
Bs.As. G.B.A. Zona Norte,03-2017,11760.314547837484
Bs.As. G.B.A. Zona Oeste,03-2017,6096.3362068965507
Capital Federal,03-2017,11875.821909783248
Bs.As. G.B.A. Zona Sur,03-2017,7789.5833333333339
Capital Federal,03-2016,9633.8252756573347
Bs.As. G.B.A. Zona Oeste,03-2016,4667.795454545455
Bs.As. G.B.A. Zona Norte,03-2016,10058.291873963513
Bs.As. G.B.A. Zona Sur,03-2016,5935.5769230769238
Capital Federal,03-2015,14750.432473444609
Bs.As. G.B.A. Zona Sur,03-2015,3645.15306122449
Bs.As. G.B.A. Zona Oeste,03-2015,2747.4860335195535
Bs.As. G.B.A. Zona Norte,03-2015,8691.5216931216855
Bs.As. G.B.A. Zona Oeste,02-2021,20572.317596566521
Bs.As. G.B.A. Zona Norte,02-2021,39846.437685459947
Bs.As. G.B.A. Zona Sur,02-2021,34959.945043103449
Capital Federal,02-2021,41358.688262195137
Bs.As. G.B.A. Zona Norte,02-2020,24802.506415094336
Bs.As. G.B.A. Zona Oeste,02-2020,12729.563492063493
Bs.As. G.B.A. Zona Sur,02-2020,15315.433456561919
Capital Federal,02-2020,24133.419743388324
Capital Federal,02-2019,18372.099999999995
Bs.As. G.B.A. Zona Oeste,02-2019,9373.68827160494
Bs.As. G.B.A. Zona Norte,02-2019,17466.66424945612
Bs.As. G.B.A. Zona Sur,02-2019,10696.457326892105
Capital Federal,02-2018,13733.320665083136
Bs.As. G.B.A. Zona Oeste,02-2018,8037.5641025641035
Bs.As. G.B.A. Zona Sur,02-2018,7997.1129363449681
Bs.As. G.B.A. Zona Norte,02-2018,13245.02448579824
Bs.As. G.B.A. Zona Norte,02-2017,11447.775747508305
Capital Federal,02-2017,11969.291975724882
Bs.As. G.B.A. Zona Oeste,02-2017,5658.295454545455
Bs.As. G.B.A. Zona Sur,02-2017,6606.5833333333348
Capital Federal,02-2016,9793.7299185098946
Bs.As. G.B.A. Zona Oeste,02-2016,4389.545454545455
Bs.As. G.B.A. Zona Norte,02-2016,8716.1109090909085
Bs.As. G.B.A. Zona Sur,02-2016,5792.3809523809523
Capital Federal,02-2015,9529.0163090128735
Bs.As. G.B.A. Zona Norte,02-2015,6349.3509615384619
Bs.As. G.B.A. Zona Oeste,02-2015,3131.967213114754
Bs.As. G.B.A. Zona Sur,02-2015,4312.2666666666664
Bs.As. G.B.A. Zona Oeste,01-2021,20482.499999999996
Capital Federal,01-2021,38640.362238864815
Bs.As. G.B.A. Zona Norte,01-2021,39414.178168130486
Bs.As. G.B.A. Zona Sur,01-2021,30023.042285714284
Bs.As. G.B.A. Zona Sur,01-2020,14618.762841530055
Capital Federal,01-2020,21913.318814989208
Bs.As. G.B.A. Zona Oeste,01-2020,11906.76202860858
Bs.As. G.B.A. Zona Norte,01-2020,21182.2102425876
Bs.As. G.B.A. Zona Sur,01-2019,10717.126654064272
Capital Federal,01-2019,18137.503131524008
Bs.As. G.B.A. Zona Oeste,01-2019,9248.1566820276475
Bs.As. G.B.A. Zona Norte,01-2019,15352.312989045386
Bs.As. G.B.A. Zona Oeste,01-2018,6920.5578512396705
Capital Federal,01-2018,13981.771868787278
Bs.As. G.B.A. Zona Sur,01-2018,8503.7468354430384
Bs.As. G.B.A. Zona Norte,01-2018,13755.841694537346
Bs.As. G.B.A. Zona Norte,01-2017,11577.62128325509
Bs.As. G.B.A. Zona Oeste,01-2017,5735.0162866449509
Bs.As. G.B.A. Zona Sur,01-2017,6589.166666666667
Capital Federal,01-2017,11225.565838509316
Capital Federal,01-2016,8509.45504587156
Bs.As. G.B.A. Zona Sur,01-2016,5020.909090909091
Bs.As. G.B.A. Zona Norte,01-2016,7877.7247191011229
Bs.As. G.B.A. Zona Oeste,01-2016,4343.80733944954
Bs.As. G.B.A. Zona Norte,01-2015,5710.4868913857681
Bs.As. G.B.A. Zona Sur,01-2015,2640.2173913043475
Capital Federal,01-2015,7298.2704402515728
Bs.As. G.B.A. Zona Oeste,01-2015,3503.5714285714289
